id,zone,label
1,Yharnam,1st Floor Sick Room
2,Yharnam,Central Yharnam
3,Yharnam,Great Bridge
4,Yharnam,Tomb of Oedon
5,Yharnam,Cathedral Ward
6,Yharnam,Grand Cathedral
7,Yharnam,Upper Cathedral Ward
8,Yharnam,Lumenflower Gardens
9,Yharnam,Altar of Despair
10,Yharnam,Old Yharnam
11,Yharnam,Church of the Good Chalice
12,Yharnam,Graveyard of the Darkbeast
13,Frontier,Hemwick Charnel Lane
14,Frontier,Witch's Abode
15,Frontier,Forbidden Woods
16,Frontier,Forbidden Grave
17,Frontier,Byrgenwerth
18,Frontier,Moonside Lake
19,Unseen,"Yahar'gul, Unseen Village"
20,Unseen,Yahar'gul Chapel
21,Unseen,Advent Plaza
22,Unseen,Hypogean Gaol
23,Unseen,Forsaken Castle Cainhurst
24,Unseen,Logarius' Seat
25,Unseen,Vileblood Queen's Chamber
26,Unseen,Abandoned Old Workshop
27,Nightmare,Lecture Building
28,Nightmare,Lecture Building 2nd Floor
29,Nightmare,Nightmare Frontier
30,Nightmare,Amygdala's Chamber
31,Nightmare,Nightmare of Mensis
32,Nightmare,Mergo's Loft Base
33,Nightmare,Mergo's Loft Middle
34,Nightmare,Wet Nurse's Lunarium
35,Hunter's Dream,Hunter's Dream
