Source,Target
1,2
2,3
2,7
2,18
2,31
2,39
2,1
3,4
3,2
4,5
4,6
4,15
4,3
5,4
6,4
7,8
7,9
7,2
8,10
8,7
9,7
10,11
10,8
11,12
11,13
11,10
12,13
12,11
13,14
13,17
13,11
13,12
14,16
14,13
15,12
15,13
16,14
17,13
18,19
18,2
19,20
19,21
19,18
20,22
20,19
21,19
22,23
22,20
23,24
23,22
24,25
24,23
25,26
25,24
26,27
26,25
27,28
27,30
27,26
28,30
28,29
28,27
29,28
31,32
31,2
32,33
32,45
32,55
32,31
33,34
33,32
34,35
34,33
35,36
35,34
36,37
36,35
37,38
37,36
38,37
39,40
39,41
40,41
41,42
42,43
43,44
44,43
45,47
45,46
45,32
46,48
46,45
47,45
48,49
48,46
49,50
49,48
50,51
50,49
51,52
51,50
52,53
52,51
53,54
53,52
54,53
55,56
55,32
56,57
56,55
57,58
57,56
58,57
