Source,Target
2,3
2,12
2,24
3,4
3,12
3,16
3,18
3,19
3,2
4,10
4,25
4,3
5,13
5,9
5,10
6,10
6,14
6,15
7,8
7,230
7,290
7,13
7,218
8,284
8,7
8,13
9,12
9,41
9,5
9,10
10,5
10,6
10,9
10,13
10,20
10,22
10,219
10,4
11,19
12,2
12,3
12,9
13,7
13,8
13,290
13,5
13,10
14,6
14,17
14,20
15,6
15,17
15,195
15,29
16,3
17,14
17,15
18,3
19,11
19,3
20,14
20,10
21,29
22,10
23,24
24,2
24,23
25,26
25,28
25,58
25,4
26,27
26,25
27,51
27,26
28,29
28,25
29,15
29,21
29,30
29,28
30,29
31,32
31,52
32,31
33,35
33,40
33,47
33,49
33,36
34,36
34,38
34,42
34,46
34,41
35,39
35,40
35,47
35,49
35,33
36,33
36,37
36,48
36,50
36,34
36,41
37,36
38,46
38,34
39,181
39,192
39,35
39,40
40,39
40,47
40,49
40,33
40,35
41,34
41,36
41,9
42,43
42,34
43,44
43,42
44,45
44,43
45,44
46,34
46,38
47,33
47,35
47,40
48,36
49,33
49,35
49,40
50,36
51,53
51,27
52,31
52,55
52,51
53,54
53,51
54,55
54,56
54,53
55,56
55,52
55,54
56,57
56,54
56,55
57,58
57,56
58,59
58,25
58,57
59,60
59,103
59,58
60,61
60,104
60,59
61,62
61,77
61,79
61,60
62,63
62,78
62,89
62,61
62,67
62,77
63,64
63,62
64,110
64,121
64,63
65,66
66,67
66,68
66,100
66,65
67,62
67,66
68,70
68,72
68,66
69,89
69,72
69,88
70,68
71,279
71,96
72,69
72,73
72,74
72,107
72,274
72,68
73,74
73,72
74,75
74,102
74,72
74,73
75,74
76,104
77,62
77,78
77,79
77,80
77,61
78,79
78,80
78,83
78,62
78,77
79,80
79,81
79,82
79,83
79,61
79,77
79,78
80,81
80,77
80,78
80,79
81,82
81,79
81,80
82,85
82,101
82,79
82,81
82,83
83,82
83,84
83,85
83,105
83,78
83,79
84,87
84,105
84,83
85,86
85,90
85,82
85,83
86,85
87,88
87,90
87,98
87,84
88,69
88,89
88,106
88,87
89,106
89,62
89,69
89,88
90,91
90,85
90,87
91,92
91,90
92,94
92,91
93,95
93,94
94,93
94,92
95,96
95,97
95,93
96,71
96,95
97,95
98,99
98,87
99,115
99,98
99,111
100,66
101,82
102,74
102,113
103,59
104,76
104,60
105,83
105,84
106,88
106,89
107,108
107,72
108,109
109,108
110,111
110,113
110,64
111,99
111,112
111,110
112,127
112,111
113,102
113,114
113,110
114,113
115,116
115,99
116,117
116,115
117,125
117,116
118,119
118,120
119,120
119,118
120,118
120,119
121,122
121,64
122,123
122,172
122,121
123,124
123,122
124,123
125,126
125,138
125,140
125,117
126,135
126,142
126,148
126,152
126,125
126,127
127,126
127,128
127,112
128,129
128,141
128,127
129,130
129,133
129,143
129,128
130,143
130,129
131,132
131,134
131,158
131,133
132,131
133,131
133,134
133,144
133,158
133,129
134,139
134,158
134,131
134,133
135,136
135,126
136,137
136,135
137,136
138,125
139,134
140,125
141,128
142,126
143,129
143,130
144,145
144,133
145,146
145,153
145,155
145,144
146,147
146,155
146,145
147,166
147,146
148,154
148,126
149,150
149,154
150,151
150,149
151,153
151,150
152,126
153,145
153,151
154,149
154,148
155,145
155,146
156,157
156,163
156,158
157,163
157,156
158,156
158,159
158,131
158,133
158,134
159,160
159,161
159,162
159,158
160,175
160,159
161,159
162,159
163,164
163,156
163,157
164,165
164,163
165,164
166,167
166,170
166,147
167,168
167,169
167,166
168,170
168,172
168,167
168,169
169,168
169,167
170,173
171,148
172,171
173,170
174,179
174,178
175,177
175,236
175,176
175,239
175,160
176,175
176,177
177,176
177,178
177,183
177,175
178,174
178,180
178,177
179,182
179,174
180,181
180,178
181,235
182,179
183,184
183,185
183,177
184,187
184,183
186,298
187,186
187,184
188,190
188,189
189,188
190,191
190,188
191,193
191,190
192,235
193,194
193,191
195,196
195,212
195,15
196,197
196,217
196,195
197,199
197,224
197,196
198,199
199,198
199,215
199,216
199,221
199,197
200,201
201,202
201,208
201,213
201,200
202,204
202,208
202,201
203,206
203,204
204,203
204,205
204,219
204,223
204,202
205,204
206,231
206,203
207,293
208,209
208,201
208,202
209,210
209,211
209,208
210,209
211,214
211,209
212,195
213,201
214,211
215,199
216,199
217,218
217,196
218,7
218,15
218,217
219,204
219,223
220,221
220,223
221,199
221,220
222,223
223,219
223,222
223,220
223,204
224,225
224,197
224,227
225,224
226,227
227,226
227,224
227,233
227,229
227,232
228,229
229,227
229,228
229,232
229,230
230,229
231,206
232,227
232,229
233,234
233,227
234,233
