Source,Target
2,3
2,12
3,4
3,12
3,16
3,18
3,19
4,10
4,25
5,13
5,9
7,8
7,230
7,290
8,284
9,12
9,41
10,5
10,6
10,9
10,13
10,20
10,22
10,219
13,7
13,8
13,290
14,6
14,17
15,6
15,17
15,195
19,11
20,14
23,24
24,2
25,26
25,28
25,58
26,27
27,51
28,29
29,15
29,21
29,30
31,32
33,35
33,40
33,47
33,49
34,36
34,38
34,42
34,46
35,39
35,40
35,47
35,49
36,33
36,37
36,48
36,50
38,46
39,181
39,192
40,39
40,47
40,49
41,34
41,36
42,43
43,44
44,45
51,52
51,53
52,31
52,55
53,54
54,55
54,56
55,56
56,57
57,58
58,59
59,60
59,103
60,61
60,104
61,62
61,77
61,79
62,63
62,78
62,89
63,64
64,110
64,121
65,66
66,67
66,68
66,100
67,62
68,70
68,72
69,89
71,279
72,69
72,73
72,74
72,107
72,274
73,74
74,75
74,102
77,62
77,78
77,79
77,80
78,79
78,80
78,83
79,80
79,81
79,82
79,83
80,81
81,82
82,85
82,101
83,82
83,84
83,85
83,105
84,87
84,105
85,86
85,90
87,88
87,90
87,98
88,69
88,89
88,106
89,106
90,91
91,92
92,94
93,95
94,93
95,96
95,97
96,71
98,99
99,115
104,76
107,108
108,109
110,111
110,113
111,99
111,112
112,127
113,102
113,114
115,116
116,117
117,125
118,119
118,120
119,120
121,122
122,123
122,172
123,124
125,126
125,138
125,140
126,135
126,142
126,148
126,152
127,126
127,128
128,129
128,141
129,130
129,133
129,143
130,143
131,132
131,134
131,158
133,131
133,134
133,144
133,158
134,139
134,158
135,136
136,137
144,145
145,146
145,153
145,155
146,147
146,155
147,166
148,154
149,150
150,151
151,153
154,149
156,157
156,163
157,163
158,156
158,159
159,160
159,161
159,162
160,175
163,164
164,165
166,167
166,170
167,168
167,169
168,170
168,172
169,168
170,173
171,148
172,171
174,179
175,177
175,236
175,239
177,176
177,178
177,183
178,174
178,180
179,182
180,181
181,235
183,184
183,185
184,187
186,298
187,186
188,190
189,188
190,191
191,193
192,235
193,194
195,196
195,212
196,197
196,217
197,199
197,224
198,199
199,198
199,215
199,216
199,221
200,201
201,202
201,208
201,213
202,204
202,208
203,206
204,203
204,205
204,219
204,223
206,231
208,209
209,210
209,211
211,214
217,218
218,7
218,15
220,221
223,219
223,222
223,220
224,225
227,226
227,224
227,233
229,227
229,228
229,232
230,229
232,227
233,234
236,237
237,238
237,241
238,258
239,240
241,242
241,256
242,243
243,244
243,246
243,250
244,245
245,251
246,247
247,248
248,249
251,252
251,257
252,253
253,254
254,255
255,304
258,259
259,260
259,262
259,263
259,264
259,294
260,261
260,263
260,265
265,266
266,267
267,268
268,269
269,270
270,271
271,272
272,273
274,275
275,276
276,277
278,118
279,280
280,281
281,282
282,283
283,278
284,285
285,286
286,287
286,288
288,289
289,299
290,291
291,292
292,293
293,207
294,295
295,296
296,297
298,299
299,300
300,301
301,279
301,302
302,303
303,175
304,305
305,306
306,307
307,308
307,309
308,309
309,310
310,311
311,312
312,313
312,314
314,188
