id,zone,label
1,Roundtable Hold,Table of Lost Grace
2,Main Limgrave,The First Step
3,Main Limgrave,Church of Elleh
4,Main Limgrave,Gatefront
5,Main Limgrave,Waypoint Ruins Cellar
6,Main Limgrave,Artist's Shack
7,Main Limgrave,Third Church of Marika
8,Main Limgrave,Fort Haight West
9,Main Limgrave,Agheel Lake South
10,Main Limgrave,Agheel Lake North
11,Main Limgrave,Church of Dragon Communion
12,Main Limgrave,Seaside Ruins
13,Main Limgrave,Mistwood Outskirts
14,Main Limgrave,Murkwater Coast
15,Main Limgrave,Summonwater Village Outskirts
16,Main Limgrave,Stormfoot Catacombs
17,Main Limgrave,Murkwater Catacombs
18,Main Limgrave,Groveside Cave
19,Main Limgrave,Coastal Cave
20,Main Limgrave,Murkwater Cave
21,Main Limgrave,Highroad Cave
22,Main Limgrave,Limgrave Tunnels
23,Stranded Graveyard,Cave of Knowledge
24,Stranded Graveyard,Stranded Graveyard
25,Stormhill,Stormhill Shack
26,Stormhill,Castleward Tunnel
27,Stormhill,"Margit, the Fell Omen"
28,Stormhill,Warmaster's Shack
29,Stormhill,Saintsbridge
30,Stormhill,Deathtouched Catacombs
31,Stormhill,Limgrave Tower Bridge
32,Stormhill,Divine Tower of Limgrave
33,Weeping Peninsula,Church of Pilgrimage
34,Weeping Peninsula,Castle Morne Rampart
35,Weeping Peninsula,Tombsward
36,Weeping Peninsula,South of the Lookout Tower
37,Weeping Peninsula,Ailing Village Outskirts
38,Weeping Peninsula,Beside The Crater-Pocked Glade
39,Weeping Peninsula,Isolated Merchant's Shack
40,Weeping Peninsula,Fourth Church of Marika
41,Weeping Peninsula,Bridge of Sacrifice
42,Weeping Peninsula,Castle Morne Lift
43,Weeping Peninsula,Behind The Castle
44,Weeping Peninsula,Beside the Rampart Gaol
45,Weeping Peninsula,Morne Moangrave
46,Weeping Peninsula,Impaler's Catacombs
47,Weeping Peninsula,Tombsward Catacombs
48,Weeping Peninsula,Earthbore Cave
49,Weeping Peninsula,Tombsward Cave
50,Weeping Peninsula,Morne Tunnel
51,Stormveil Castle,Stormveil Main Gate
52,Stormveil Castle,Gateside Chamber
53,Stormveil Castle,Stormveil Cliffside
54,Stormveil Castle,Rampart Tower
55,Stormveil Castle,Liftside Chamber
56,Stormveil Castle,Secluded Cell
57,Stormveil Castle,Godrick the Grafted
58,Main Liurnia of the Lakes,Lake-Facing Cliffs
59,Main Liurnia of the Lakes,Liurnia Lake Shore
60,Main Liurnia of the Lakes,Laskyar Ruins
61,Main Liurnia of the Lakes,Scenic Isle
62,Main Liurnia of the Lakes,Academy Gate Town
63,Main Liurnia of the Lakes,South Raya Lucaria Gate
64,Main Liurnia of the Lakes,Main Academy Gate
65,Main Liurnia of the Lakes,Liurnia Highway South
66,Main Liurnia of the Lakes,Liurnia Highway North
67,Main Liurnia of the Lakes,Gate Town Bridge
68,Main Liurnia of the Lakes,Artist's Shack
69,Main Liurnia of the Lakes,Eastern Liurnia Lake Shore
70,Main Liurnia of the Lakes,Jarburg
71,Main Liurnia of the Lakes,Ranni's Chamber
72,Main Liurnia of the Lakes,Eastern Tableland
73,Main Liurnia of the Lakes,Church of Vows
74,Main Liurnia of the Lakes,Ruined Labyrinth
75,Main Liurnia of the Lakes,Mausoleum Compound
76,Main Liurnia of the Lakes,Slumbering Wolf's Shack
77,Main Liurnia of the Lakes,Boilprawn Shack
78,Main Liurnia of the Lakes,Fallen Ruins of the Lake
79,Main Liurnia of the Lakes,Folly on the Lake
80,Main Liurnia of the Lakes,Village of the Albinaurics
81,Main Liurnia of the Lakes,Converted Tower
82,Main Liurnia of the Lakes,Revenger's Shack
83,Main Liurnia of the Lakes,Temple Quarter
84,Main Liurnia of the Lakes,Crystalline Woods
85,Main Liurnia of the Lakes,Foot of the Four Belfries
86,Main Liurnia of the Lakes,The Four Belfries
87,Main Liurnia of the Lakes,Sorcerer's Isle
88,Main Liurnia of the Lakes,East Gate Bridge Trestle
89,Main Liurnia of the Lakes,Gate Town North
90,Main Liurnia of the Lakes,Northern Liurnia Lake Shore
91,Main Liurnia of the Lakes,Road to the Manor
92,Main Liurnia of the Lakes,Main Caria Manor Gate
93,Main Liurnia of the Lakes,Manor Upper Level
94,Main Liurnia of the Lakes,Manor Lower Level
95,Main Liurnia of the Lakes,Royal Moongazing Grounds
96,Main Liurnia of the Lakes,Ranni's Rise
97,Main Liurnia of the Lakes,Behind Caria Manor
98,Main Liurnia of the Lakes,The Ravine
99,Main Liurnia of the Lakes,Ravine-Veiled Village
100,Main Liurnia of the Lakes,Cliffbottom Catacombs
101,Main Liurnia of the Lakes,Road's End Catacombs
102,Main Liurnia of the Lakes,Black Knife Catacombs
103,Main Liurnia of the Lakes,Stillwater Cave
104,Main Liurnia of the Lakes,Lakeside Crystal Cave
105,Main Liurnia of the Lakes,Academy Crystal Cave
106,Main Liurnia of the Lakes,Raya Lucaria Crystal Tunnel
107,Main Liurnia of the Lakes,Study Hall Entrance
108,Main Liurnia of the Lakes,Liurnia Tower Bridge
109,Main Liurnia of the Lakes,Divine Tower of Liurnia
110,Bellum Highway,East Raya Lucaria Gate
111,Bellum Highway,Bellum Church
112,Bellum Highway,Grand Lift of Dectus
113,Bellum Highway,Frenzied Flame Village Outskirts
114,Bellum Highway,Church of Inhibition
115,Ruin-Strewn Precipice,Ruin-Strewn Precipice
116,Ruin-Strewn Precipice,Ruin-Strewn Precipice Overlook
117,Ruin-Strewn Precipice,Magma Wyrm Makar
118,Moonlight Altar,Moonlight Altar
119,Moonlight Altar,Cathedral of Manus Celes
120,Moonlight Altar,Altar South
121,Academy of Raya Lucaria,Church of the Cuckoo
122,Academy of Raya Lucaria,Schoolhouse Classroom
123,Academy of Raya Lucaria,Debate Parlor
124,Academy of Raya Lucaria,Raya Lucaria Grand Library
125,Main Altus Plateau,Abandoned Coffin
126,Main Altus Plateau,Erdtree-Gazing Hill
127,Main Altus Plateau,Altus Plateau
128,Main Altus Plateau,Altus Highway Junction
129,Main Altus Plateau,Forest-Spanning Greatbridge
130,Main Altus Plateau,Bower of Bounty
131,Main Altus Plateau,Windmill Village
132,Main Altus Plateau,Windmill Heights
133,Main Altus Plateau,Road of Iniquity Side Path
134,Main Altus Plateau,Rampartside Path
135,Main Altus Plateau,Shaded Castle Ramparts
136,Main Altus Plateau,Shaded Castle Inner Gate
137,Main Altus Plateau,Castellan's Hall
138,Main Altus Plateau,Unsightly Catacombs
139,Main Altus Plateau,Sainted Hero's Grave
140,Main Altus Plateau,Sage's Cave
141,Main Altus Plateau,Perfumer's Grotto
142,Main Altus Plateau,Old Altus Tunnel
143,Main Altus Plateau,Altus Tunnel
144,Mt. Gelmir,Bridge of Iniquity
145,Mt. Gelmir,First Mt. Gelmir Campsite
146,Mt. Gelmir,Ninth Mt. Gelmir Campsite
147,Mt. Gelmir,Road of Iniquity
148,Mt. Gelmir,Seethewater River
